Core: qsys_video_core_0_mem_if_ddr3_emif_0_p0 - Instance: qsys_i|video_core_0|mem_if_ddr3_emif_1
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 100C Model)",0.579,0.567
"Bus Turnaround Time (Slow 1100mV 100C Model)",2.67,--
"Core (Slow 1100mV 100C Model)",1.035,0.251
"Core Recovery/Removal (Slow 1100mV 100C Model)",-5.617,1.029
"DQS vs CK (Slow 1100mV 100C Model)",0.416,0.351
"Postamble (Slow 1100mV 100C Model)",0.454,0.454
"Read Capture (Slow 1100mV 100C Model)",0.172,0.125
"Write (Slow 1100mV 100C Model)",0.199,0.21
"Address Command (Slow 1100mV -40C Model)",0.576,0.581
"Bus Turnaround Time (Slow 1100mV -40C Model)",2.772,--
"Core (Slow 1100mV -40C Model)",1.21,0.234
"Core Recovery/Removal (Slow 1100mV -40C Model)",-5.467,0.961
"DQS vs CK (Slow 1100mV -40C Model)",0.473,0.389
"Postamble (Slow 1100mV -40C Model)",0.431,0.431
"Read Capture (Slow 1100mV -40C Model)",0.211,0.164
"Write (Slow 1100mV -40C Model)",0.234,0.251
"Address Command (Fast 1100mV 100C Model)",0.68,0.618
"Bus Turnaround Time (Fast 1100mV 100C Model)",3.034,--
"Core (Fast 1100mV 100C Model)",2.007,0.135
"Core Recovery/Removal (Fast 1100mV 100C Model)",-2.772,0.484
"DQS vs CK (Fast 1100mV 100C Model)",0.597,0.512
"Postamble (Fast 1100mV 100C Model)",0.605,0.605
"Read Capture (Fast 1100mV 100C Model)",0.352,0.305
"Write (Fast 1100mV 100C Model)",0.306,0.306
"Address Command (Fast 1100mV -40C Model)",0.668,0.621
"Bus Turnaround Time (Fast 1100mV -40C Model)",3.037,--
"Core (Fast 1100mV -40C Model)",2.036,0.119
"Core Recovery/Removal (Fast 1100mV -40C Model)",-2.389,0.421
"DQS vs CK (Fast 1100mV -40C Model)",0.604,0.519
"Postamble (Fast 1100mV -40C Model)",0.637,0.637
"Read Capture (Fast 1100mV -40C Model)",0.356,0.309
"Write (Fast 1100mV -40C Model)",0.328,0.328
