Core: qsys_video_core_0_mem_if_ddr3_emif_0_p0 - Instance: qsys_i|video_core_0|mem_if_ddr3_emif_0
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 100C Model)",0.585,0.567
"Bus Turnaround Time (Slow 1100mV 100C Model)",2.67,--
"Core (Slow 1100mV 100C Model)",0.311,0.272
"Core Recovery/Removal (Slow 1100mV 100C Model)",-6.308,1.022
"DQS vs CK (Slow 1100mV 100C Model)",0.346,0.421
"Postamble (Slow 1100mV 100C Model)",0.467,0.467
"Read Capture (Slow 1100mV 100C Model)",0.172,0.125
"Write (Slow 1100mV 100C Model)",0.199,0.206
"Address Command (Slow 1100mV -40C Model)",0.586,0.585
"Bus Turnaround Time (Slow 1100mV -40C Model)",2.772,--
"Core (Slow 1100mV -40C Model)",0.409,0.314
"Core Recovery/Removal (Slow 1100mV -40C Model)",-6.292,0.97
"DQS vs CK (Slow 1100mV -40C Model)",0.403,0.459
"Postamble (Slow 1100mV -40C Model)",0.445,0.445
"Read Capture (Slow 1100mV -40C Model)",0.212,0.164
"Write (Slow 1100mV -40C Model)",0.225,0.247
"Address Command (Fast 1100mV 100C Model)",0.656,0.642
"Bus Turnaround Time (Fast 1100mV 100C Model)",3.034,--
"Core (Fast 1100mV 100C Model)",1.996,0.155
"Core Recovery/Removal (Fast 1100mV 100C Model)",-2.708,0.478
"DQS vs CK (Fast 1100mV 100C Model)",0.527,0.582
"Postamble (Fast 1100mV 100C Model)",0.592,0.592
"Read Capture (Fast 1100mV 100C Model)",0.352,0.305
"Write (Fast 1100mV 100C Model)",0.301,0.301
"Address Command (Fast 1100mV -40C Model)",0.638,0.665
"Bus Turnaround Time (Fast 1100mV -40C Model)",3.037,--
"Core (Fast 1100mV -40C Model)",2.02,0.134
"Core Recovery/Removal (Fast 1100mV -40C Model)",-2.35,0.407
"DQS vs CK (Fast 1100mV -40C Model)",0.534,0.589
"Postamble (Fast 1100mV -40C Model)",0.624,0.624
"Read Capture (Fast 1100mV -40C Model)",0.357,0.309
"Write (Fast 1100mV -40C Model)",0.325,0.325
